file,QtD_Full,QtD_MD,QtD_LD
15082H,0.18861970967811,0.157872208402881,0.0714541597320102
19208X,0.236837606862039,0.180609412179431,0.0855756156426908
26117L,0.415721531161791,0.317167392072765,0.292696474311586
18198P,0.186155699787536,0.128734413404518,0.0594920693123354
25916K,0.205741683322437,0.175008760897556,0.230429125930565
15908F,0.149861803075722,0.126484802686205,0.195495369724045
23685H,0.151391372604256,0.127289883271442,0.0515334290568309
26118N,0.17135022865266,0.13216930103468,0.0479694865968154
19213Q,0.144711042834682,0.114115131755744,0.0557562788216298
13086F,0.176680220525847,0.142627172166198,0.0586916748984133
25722X,0.255400353583123,0.200669105903125,0.147326738512856
19621F,0.0880081764635126,0.0774686443742873,0.194815214875395
16113X,0.113402274221043,0.093055579986122,0.0239353934678863
24364S,0.161683366529406,0.13821013192596,0.0618006415745649
11830A,0.146115258594495,0.146995851419119,0.0475023099168611
16553Z,0.178033677542429,0.191296651380565,0.0830866189330795
13358M,0.183961519665726,0.153881631874816,0.0667962887936166
24154H,0.212289956335813,0.16848895293337,0.079814701980459
24759P,0.126284103932051,0.100399355061093,0.0285771156872197
15484B,0.166418356682377,0.151493262642959,0.0557211133323731
16990V,0.0457530909312382,0.0409272247575602,0.0462097831141927
21462D,0.132701550240987,0.103126739544232,0.0321862901380012
19217Y,0.14958217348444,0.151959328639758,0.0623225977191868
14350B,0.261830287576285,0.195614539332916,0.126613291400072
19795M,0.103679122103204,0.0840446470371332,0.0238176378893296
18978P,0.134309973837431,0.10843088054885,0.0265977413052666
17613W,0.219317796657983,0.162771912764467,0.0713350301807772
22815P,0.174580797465507,0.143529083112879,0.059633131769528
16755L,0.167318375449707,0.138660019893926,0.0893521199950201
13092A,0.204795154277465,0.175950918904987,0.097981634155333
14342C,0.230734727986321,0.167788914760137,0.0998678809744677
16986E,0.122374127703448,0.110534231059375,0.0355255833359805
20430L,0.278870187124939,0.225962930018143,0.203274444288394
22577Z,0.160334446973582,0.128809032939552,0.0496554410251308
24151B,0.439913431835365,0.377306359680515,0.277021970222146
16999N,0.143358431269248,0.122399788925493,0.0505687054458788
25000L,0.159188108873963,0.126575061043126,0.0656735418826936
17193A,0.193641311568509,0.156418296741324,0.102300170819344
18191B,0.109835208846184,0.109922318155553,0.0353124601872924
11810U,0.225411033157892,0.167854688819845,0.0813342617650589
17601P,0.192492273998051,0.142701644700346,0.0572111051428884
23915Y,0.11800469591714,0.120905213492031,0.0382209967000753
19616M,0.090169557390315,0.0730106146901944,0.0148512741921057
22109S,0.130217849180608,0.114522353371595,0.107532483144829
16344Q,0.199273300490725,0.151542580669444,0.0818000312844133
22343A,0.112088887325632,0.106802564927401,0.0281930794771777
20859Z,0.129206495525331,0.104928727014961,0.0443746502333247
16559L,0.127614654935605,0.0946703123970432,0.0294849839588569
23497G,0.196928590369857,0.258521287761799,0.10461389216352
20221C,0.189739717453187,0.148214813765599,0.0788453417635276
15478G,0.164060769820728,0.175900759811989,0.0619680767032317
13353C,0.157613558914728,0.208809574658177,0.0727561805482033
17603T,0.166746017007741,0.148651153913173,0.0601298879486411
16771J,0.205871044438407,0.154609561729547,0.0731146760598578
23276Q,0.164845652076795,0.128343525491107,0.0421257282726932
15475A,0.0979425097045378,0.0803562522355077,0.0194007952160512
15469F,0.207203419381835,0.149657528267238,0.0744835310119794
18799P,0.203286101844975,0.158831749878321,0.0801422100757162
14661S,0.186340823904273,0.14145085102765,0.0674526709713468
17392G,0.199520886806845,0.205972224212804,0.107471383529648
16561Y,0.237923589314138,0.173385459423635,0.0867278571028383
15917G,0.14124114902296,0.120663237429226,0.0405823209859968
18599H,0.213296818757027,0.161058854665173,0.104217556661822
14055Z,0.0872141514377459,0.0701684886182469,0.0160595571269362
16332J,0.184470545949112,0.142885248744551,0.0900926478972045
25448D,0.172688514154316,0.140985098028417,0.0682546609197628
25724B,0.128795215802912,0.103732324700925,0.045196866829693
17397Q,0.176559158226209,0.139322316390153,0.0763715583326674
13685B,0.402869596581014,0.311666931594663,0.286094048125869
22351Z,0.159123074157921,0.129303945578702,0.0894152108349796
12432T,0.191145646747997,0.150006581704415,0.0723663669009902
21461B,0.196180579386856,0.191841071511924,0.101594452321005
18209U,0.208902814358867,0.156912221461074,0.0793317998527504
23052U,0.223092597413536,0.172246721138709,0.101116538462423
22332V,0.136986403080063,0.105986014808307,0.0279842368018519
23273K,0.213861882497633,0.16368465890431,0.0939022073483611
18193F,0.170026128254604,0.142454376604308,0.052207497966228
16766Q,0.266701316466996,0.228318029505542,0.576865425167044
15915C,0.335311571454511,0.252577861746904,0.209496089107424
21870S,0.199904965068249,0.178266331498068,0.0715349556657194
18596B,0.44102787206871,0.355658669470614,0.497578016652231
23502Z,0.123591631164336,0.114160750028529,0.0359079104961703
13700X,0.199657499640233,0.158565931442425,0.0723042813757664
19626P,0.158409652127798,0.118946426260556,0.0521943896756958
24560S,0.171915790651195,0.188480208121013,0.0793150147588433
19214S,0.185181227601413,0.146725496039377,0.0869863349819422
24552T,0.124571623475034,0.0974371681874436,0.0248019898098136
